,0
AP023078.1.gff,1
AP023078:AP023078.1,2
AP023078:HCADAFIL_00001,3
AP023078:HCADAFIL_00002,4
AP023078:HCADAFIL_00003,5
AP023078:HCADAFIL_00004,6
AP023078:HCADAFIL_00005,7
AP023078:HCADAFIL_00006,8
AP023078:HCADAFIL_00007,9
AP023078:HCADAFIL_00008,10
AP023078:HCADAFIL_00009,11
AP023078:HCADAFIL_00010,12
AP023078:HCADAFIL_00011,13
AP023078:HCADAFIL_00012,14
AP023078:HCADAFIL_00013,15
AP023078:HCADAFIL_00014,16
AP023078:HCADAFIL_00015,17
AP023078:HCADAFIL_00016,18
AP023078:HCADAFIL_00017,19
AP023078:HCADAFIL_00018,20
AP023078:HCADAFIL_00019,21
AP023078:HCADAFIL_00020,22
AP023078:HCADAFIL_00021,23
AP023078:HCADAFIL_00022,24
AP023078:HCADAFIL_00023,25
AP023078:HCADAFIL_00024,26
AP023078:HCADAFIL_00025,27
AP023078:HCADAFIL_00026,28
AP023078:HCADAFIL_00027,29
AP023078:HCADAFIL_00028,30
AP023078:HCADAFIL_00029,31
AP023078:HCADAFIL_00030,32
AP023078:HCADAFIL_00031,33
AP023078:HCADAFIL_00032,34
AP023078:HCADAFIL_00033,35
AP023078:HCADAFIL_00034,36
AP023078:HCADAFIL_00035,37
AP023078:HCADAFIL_00036,38
AP023078:HCADAFIL_00037,39
AP023078:HCADAFIL_00038,40
AP023078:HCADAFIL_00039,41
AP023078:HCADAFIL_00040,42
AP023078:HCADAFIL_00041,43
AP023078:HCADAFIL_00042,44
AP023078:HCADAFIL_00043,45
AP023078:HCADAFIL_00044,46
AP023078:HCADAFIL_00045,47
AP023078:HCADAFIL_00046,48
AP023078:HCADAFIL_00047,49
AP023078:HCADAFIL_00048,50
AP023078:HCADAFIL_00049,51
AP023078:HCADAFIL_00050,52
AP023078:HCADAFIL_00051,53
AP023078:HCADAFIL_00052,54
AP023078:HCADAFIL_00053,55
AP023078:HCADAFIL_00054,56
AP023078:HCADAFIL_00055,57
AP023078:HCADAFIL_00056,58
AP023078:HCADAFIL_00057,59
AP023078:HCADAFIL_00058,60
AP023078:HCADAFIL_00059,61
AP023078:HCADAFIL_00060,62
AP023078:HCADAFIL_00061,63
AP023078:HCADAFIL_00062,64
AP023078:HCADAFIL_00063,65
AP023078:HCADAFIL_00064,66
AP023078:HCADAFIL_00065,67
AP023078:HCADAFIL_00066,68
AP023078:HCADAFIL_00067,69
AP023078:HCADAFIL_00068,70
AP023078:HCADAFIL_00069,71
AP023078:HCADAFIL_00070,72
AP023078:HCADAFIL_00071,73
AP023078:HCADAFIL_00072,74
AP023078:HCADAFIL_00073,75
AP023078:HCADAFIL_00074,76
AP023078:HCADAFIL_00075,77
AP023078:HCADAFIL_00076,78
AP023078:HCADAFIL_00077,79
AP023078:HCADAFIL_00078,80
AP023078:HCADAFIL_00079,81
AP023078:HCADAFIL_00080,82
AP023078:HCADAFIL_00081,83
AP023078:HCADAFIL_00082,84
AP023078:HCADAFIL_00083,85
AP023078:HCADAFIL_00084,86
AP023078:HCADAFIL_00085,87
AP023078:HCADAFIL_00086,88
AP023078:HCADAFIL_00087,89
AP023078:HCADAFIL_00088,90
AP023078:HCADAFIL_00089,91
CP000865.1.gff,92
CP000865:CP000865.1,93
CP000865:DHFKPJEJ_00001,94
CP000865:DHFKPJEJ_00002,95
CP000865:DHFKPJEJ_00003,96
CP000865:DHFKPJEJ_00004,97
CP000865:DHFKPJEJ_00005,98
CP000865:DHFKPJEJ_00006,99
CP000865:DHFKPJEJ_00007,100
CP000865:DHFKPJEJ_00008,101
CP000865:DHFKPJEJ_00009,102
CP000865:DHFKPJEJ_00010,103
CP000865:DHFKPJEJ_00011,104
CP000865:DHFKPJEJ_00012,105
CP000865:DHFKPJEJ_00013,106
CP000865:DHFKPJEJ_00014,107
CP000865:DHFKPJEJ_00015,108
CP000865:DHFKPJEJ_00016,109
CP000865:DHFKPJEJ_00017,110
CP000865:DHFKPJEJ_00018,111
CP000865:DHFKPJEJ_00019,112
CP000865:DHFKPJEJ_00020,113
CP000865:DHFKPJEJ_00021,114
CP000865:DHFKPJEJ_00022,115
CP000865:DHFKPJEJ_00023,116
CP000865:DHFKPJEJ_00024,117
CP000865:DHFKPJEJ_00025,118
CP000865:DHFKPJEJ_00026,119
CP000865:DHFKPJEJ_00027,120
CP000865:DHFKPJEJ_00028,121
CP000865:DHFKPJEJ_00029,122
CP000865:DHFKPJEJ_00030,123
CP000865:DHFKPJEJ_00031,124
CP000865:DHFKPJEJ_00032,125
CP000865:DHFKPJEJ_00033,126
CP000865:DHFKPJEJ_00034,127
CP000865:DHFKPJEJ_00035,128
CP000865:DHFKPJEJ_00036,129
CP000865:DHFKPJEJ_00037,130
CP000865:DHFKPJEJ_00038,131
CP000865:DHFKPJEJ_00039,132
CP000865:DHFKPJEJ_00040,133
CP000865:DHFKPJEJ_00041,134
CP000865:DHFKPJEJ_00042,135
CP000865:DHFKPJEJ_00043,136
CP000865:DHFKPJEJ_00044,137
CP000865:DHFKPJEJ_00045,138
CP000865:DHFKPJEJ_00046,139
CP000865:DHFKPJEJ_00047,140
CP000865:DHFKPJEJ_00048,141
CP000865:DHFKPJEJ_00049,142
CP000865:DHFKPJEJ_00050,143
CP000865:DHFKPJEJ_00051,144
CP000865:DHFKPJEJ_00052,145
CP000865:DHFKPJEJ_00053,146
CP000865:DHFKPJEJ_00054,147
CP000865:DHFKPJEJ_00055,148
CP000865:DHFKPJEJ_00056,149
CP000865:DHFKPJEJ_00057,150
CP000865:DHFKPJEJ_00058,151
CP000865:DHFKPJEJ_00059,152
CP000865:DHFKPJEJ_00060,153
CP000865:DHFKPJEJ_00061,154
CP000865:DHFKPJEJ_00062,155
CP000865:DHFKPJEJ_00063,156
CP000865:DHFKPJEJ_00064,157
CP000865:DHFKPJEJ_00065,158
CP000865:DHFKPJEJ_00066,159
CP000865:DHFKPJEJ_00067,160
CP000865:DHFKPJEJ_00068,161
CP000865:DHFKPJEJ_00069,162
CP000865:DHFKPJEJ_00070,163
CP000865:DHFKPJEJ_00071,164
CP000865:DHFKPJEJ_00072,165
CP000865:DHFKPJEJ_00073,166
CP000865:DHFKPJEJ_00074,167
CP000865:DHFKPJEJ_00075,168
CP000865:DHFKPJEJ_00076,169
CP000865:DHFKPJEJ_00077,170
